N_inventaire,Rue,N_rue,Nom_site,Arrondissement,Ville,Latitude_x,Longitude_y,Support,Couleur,Taille,Date_prise_vue,Photographe,Date_construction,Architecte,Classement_MH,Généralité_architecture,Mot_cle1,Mot_cle2,Mot_cle3,Mot_cle4,Mot_cle5,Mot_cle6,Cote_base,Cote_classement,Date_inventaire
1618,"BÉTHUNE, QUAI DE",28,IMMEUBLE,4,PARIS,48.85087,2.35687,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,NON,PRIVÉE,FAÇADE,DÉCORATION_EXTÉRIEURE,MOULURE,,,,,A507,2019/10/26
1619,"BIÈVRE, RUE DE",,RUE,5,PARIS,48.85049,2.35019,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,VUE_ENSEMBLE,FAÇADE,RUE,,,,,A507,2019/10/26
1620,"BLANCS MANTEAUX, RUE DES",,RUE,4,PARIS,48.85963,2.35534,DIAPOSITIVE,COULEUR,4x4 cm,1971/05,INCONNU,,,INCONNU,PRIVÉE,FENÊTRE,FERRONNERIE,,,,,,A507,2019/10/26
1621,"BRETONVILLIERS, RUE DE",6,IMMEUBLE,4,PARIS,48.85085,2.35897,DIAPOSITIVE,COULEUR,4x4 cm,1983/05,INCONNU,,,OUI,VOIRIES_ESPACES_LIBRES,VUE_ENSEMBLE,PASSAGE,FAÇADE,,,,,A507,2019/10/26
1622,"BÉTHUNE, QUAI DE",30,IMMEUBLE,4,PARIS,48.85092,2.35673,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,NON,PRIVÉE,FAÇADE,FERRONNERIE,BALCON,DÉCORATION_EXTÉRIEURE,,,,A507,2019/10/26
1623,"BIÈVRE, RUE DE",20,SQUARE_DANIELLE_MITTERAND,5,PARIS,48.85059,2.35,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,JARDIN,FAÇADE,,,,,,A507,2019/10/26
1624,"BOISSY D'ANGLAS, RUE",24,IMMEUBLE,8,PARIS,48.86937,2.32226,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,NON,PRIVÉE,FAÇADE,COMMERCES,,,,,,A507,2019/10/26
1626,"BÉTHUNE, QUAI DE",36,IMMEUBLE,4,PARIS,48.85108,2.35625,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,PRIVÉE,DÉCORATION_EXTÉRIEURE,,,,,,,A507,2019/10/26
1627,"ARCHIVES, RUE DES",26,CLOÎTRE_DES_BILLETTES,4,PARIS,48.85814,2.35508,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,PRIVÉE,COLONNE,VOÛTE,,,,,,A507,2019/10/26
1628,"VIARMES, RUE DE",,BOURSE_DU_COMMERCE,1,PARIS,48.86273,2.34325,DIAPOSITIVE,COULEUR,4x4 cm,1974/09,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,CHANTIER,FAÇADE,COLONNE,,,,,A507,2019/10/26
1629,"GRENELLE, QUAI DE",61,IMMEUBLE,15,PARIS,48.8498,2.28351,DIAPOSITIVE,COULEUR,4x4 cm,1978/12,INCONNU,1971,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,RUE,,,,,,A507,2019/10/26
1630,"BÉTHUNE, QUAI DE",30-38,IMMEUBLE,4,PARIS,48.85112,2.35612,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,VOIRIES_ESPACES_LIBRES,SEINE,PONT,FENÊTRE,,,,,A507,2019/10/26
1631,"BRAQUE, RUE DE",6,IMMEUBLE,3,PARIS,48.86093,2.35683,DIAPOSITIVE,COULEUR,4x4 cm,1982/04,INCONNU,,,OUI,PRIVÉE,BALCON,FERRONNERIE,PORTE,DÉCORATION_EXTÉRIEURE,,,,A507,2019/10/26
1632,"GRENELLE, QUAI DE",61,IMMEUBLE,15,PARIS,48.8498,2.28351,DIAPOSITIVE,COULEUR,4x4 cm,1978/12,INCONNU,1971,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,RUE,,,,,,A507,2019/10/26
1633,"BARRES, RUE DES",,RUE,4,PARIS,48.85516,2.35521,DIAPOSITIVE,COULEUR,4x4 cm,1974/03,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,CHANTIER,,,,,,A507,2019/10/26
1634,"BÉRANGER, RUE",2,IMMEUBLE,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,COUR,MASCARONS,FERRONNERIE,,,,,A507,2019/10/26
1635,"BÉRANGER, RUE",5,HÔTEL_PARTICULIER,3,PARIS,48.865,2.36425,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,DÉCORATION_EXTÉRIEURE,,,,,,A507,2019/10/26
1636,"BÉTHUNE, QUAI DE",20,HÔTEL_LEFEBURE_DE_LA_MALMAISON,4,PARIS,48.85054,2.35783,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/26
1637,"BARRES, RUE DES",,RUE,4,PARIS,48.85516,2.35521,DIAPOSITIVE,COULEUR,4x4 cm,1974/03,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,CHANTIER,,,,,,A507,2019/10/26
1638,"BERBIER DU METS, RUE",1-3,MOBILIER_NATIONAL,13,PARIS,48.83332,2.35122,DIAPOSITIVE,COULEUR,4x4 cm,1982/04,INCONNU,,,OUI,PRIVÉE,FAÇADE,COLONNE,,,,,,A507,2019/10/26
1639,"BÉTHUNE, QUAI DE",20,HÔTEL_LEFEBURE_DE_LA_MALMAISON,4,PARIS,48.85054,2.35783,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,FERRONNERIE,BALCON,,,A507,2019/10/26
1640,"BEAUMARCHAIS, BOULEVARD",23,IMMEUBLE,4,PARIS,48.85533,2.36836,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,NON,PRIVÉE,FAÇADE,FENÊTRE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,A507,2019/10/26
1641,"BÉRANGER, RUE",2,IMMEUBLE,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,COUR,MASCARONS,FERRONNERIE,,,,,A507,2019/10/26
1643,"BÉTHUNE, QUAI DE",20,HÔTEL_LEFEBURE_DE_LA_MALMAISON,4,PARIS,48.85054,2.35783,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,FERRONNERIE,BALCON,,,A507,2019/10/26
1644,"BEAUMARCHAIS, BOULEVARD",21,HÔTEL_DE_SAGONNE,4,PARIS,48.85527,2.36837,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,GRILLE,FAÇADE,FERRONNERIE,,,,,A507,2019/10/26
1645,"BÉRANGER, RUE",2,IMMEUBLE,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,PORTE,DÉCORATION_EXTÉRIEURE,FERRONNERIE,GRILLE,,,A507,2019/10/26
1646,"BERGER, RUE",8-18,IMMEUBLE,1,PARIS,48.86096,2.34828,DIAPOSITIVE,COULEUR,4x4 cm,1983/03,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,COMMERCES,,,,,,A507,2019/10/26
1647,"BÉTHUNE, QUAI DE",22,HÔTEL_PARTICULIER,4,PARIS,48.85061,2.35766,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/26
1648,"BÉRANGER, RUE",2,IMMEUBLE,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,PORTE,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/26
1649,"BÉRANGER, RUE",2,IMMEUBLE,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,COUR,MASCARONS,FERRONNERIE,,,,,A507,2019/10/26
1650,"JOACHIM DU BELLAY, PLACE",,FONTAINE_DES_INNOCENTS,1,PARIS,48.86064,2.348,DIAPOSITIVE,COULEUR,4x4 cm,1983/09,INCONNU,,,OUI,VOIRIES_ESPACES_LIBRES,FONTAINE,STATUE,FRONTON,DÉCORATION_EXTÉRIEURE,,,,A507,2019/10/26
1651,"BÉTHUNE, QUAI DE",22,HÔTEL_PARTICULIER,4,PARIS,48.85061,2.35766,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/26
1652,"CANETTES, RUE DES",20,IMMEUBLE,6,PARIS,48.85184,2.3335,DIAPOSITIVE,COULEUR,4x4 cm,1986/10,INCONNU,,,NON,PRIVÉE,FAÇADE,COUR,COLOMBAGES,,,,,A507,2019/10/27
1653,"CARDINAL LEMOINE, RUE DU",49,HÔTEL_LEBRUN,5,PARIS,48.84688,2.35258,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,FRONTON,GRILLE,,,,,A507,2019/10/27
1654,"CAUMARTIN, RUE DE",1,IMMEUBLE,9,PARIS,48.87015,2.32791,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,COMMERCES,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1655,"CÉLESTINS, QUAI DES",2,ECOLE,4,PARIS,48.85156,2.36221,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,,,OUI,HÔTEL_PARTICULIER,FAÇADE,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1656,"CAPUCINES, RUE DES",17-19,HÔTEL_D'EVREUX,1,PARIS,48.86929,2.32868,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,XVIIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,PORTE,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1657,"CARDINAL LEMOINE, RUE DU",49,HÔTEL_LEBRUN,5,PARIS,48.84688,2.35258,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,FRONTON,MASCARONS,DÉCORATION_EXTÉRIEURE,,,,A507,2019/10/27
1658,"CAUMARTIN, RUE DE",1,IMMEUBLE,9,PARIS,48.87015,2.32791,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,COMMERCES,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1659,"CÉLESTINS, QUAI DES",2,ECOLE,4,PARIS,48.85156,2.36221,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,,,OUI,HÔTEL_PARTICULIER,FAÇADE,MASCARONS,DÉCORATION_EXTÉRIEURE,PORTE,,,,A507,2019/10/27
1660,"CAPUCINES, RUE DES",17-19,HÔTEL_D'EVREUX,1,PARIS,48.86929,2.32868,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,XVIIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,FRONTON,BALCON,FERRONNERIE,JARDIN,,,A507,2019/10/27
1661,"CARDINAL LEMOINE, RUE DU",75,IMMEUBLE,5,PARIS,48.84527,2.35009,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,NON,PRIVÉE,FAÇADE,JARDIN,,,,,,A507,2019/10/27
1662,"CAUMARTIN, RUE DE",2-2bis,IMMEUBLE,9,PARIS,48.87041,2.32809,DIAPOSITIVE,COULEUR,4x4 cm,1984/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,FENÊTRE,,,,A507,2019/10/27
1663,"CÉLESTINS, QUAI DES",2,ECOLE,4,PARIS,48.85156,2.36221,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,,,OUI,HÔTEL_PARTICULIER,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,PORTE,GRILLE,,,A507,2019/10/27
1664,"CAPUCINES, RUE DES",17-19,HÔTEL_D'EVREUX,1,PARIS,48.86929,2.32868,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,XVIIIè,,OUI,HÔTEL_PARTICULIER,FAÇADE,FRONTON,BALCON,FERRONNERIE,JARDIN,,,A507,2019/10/27
1665,"CARDINAL LEMOINE, RUE DU",77,IMMEUBLE,5,PARIS,48.84511,2.34995,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,NON,PRIVÉE,FAÇADE,PORTE,LUCARNE,,,,,A507,2019/10/27
1666,"CAUMARTIN, RUE DE",2-2bis,IMMEUBLE,9,PARIS,48.87041,2.32809,DIAPOSITIVE,COULEUR,4x4 cm,1984/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,FENÊTRE,,,,A507,2019/10/27
1667,"CÉLESTINS, QUAI DES",2,ECOLE,4,PARIS,48.85156,2.36221,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,,,OUI,HÔTEL_PARTICULIER,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,LUCARNE,FRONTON,,,A507,2019/10/27
1668,"CARDINALE, RUE",,RUE,6,PARIS,48.85404,2.33596,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,LUCARNE,COMMERCES,,,,,A507,2019/10/27
1669,"CAUMARTIN, RUE DE",2,IMMEUBLE,9,PARIS,48.87018,2.32812,DIAPOSITIVE,COULEUR,4x4 cm,1984/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,FERRONNERIE,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1670,"CAUMARTIN, RUE DE",2-2bis,IMMEUBLE,9,PARIS,48.87041,2.32809,DIAPOSITIVE,COULEUR,4x4 cm,1984/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,SCULPTURE,DÉCORATION_EXTÉRIEURE,FENÊTRE,,,,A507,2019/10/27
1671,"CÉLESTINS, QUAI DES",2bis,ECOLE,4,PARIS,48.85171,2.36217,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,XIXè,,OUI,HÔTEL_PARTICULIER,COLONNE,DÉCORATION_EXTÉRIEURE,,,,,,A507,2019/10/27
1672,"CLEF, RUE DE LA",38,IMMEUBLE,5,PARIS,48.84203,2.3527,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,NON,PRIVÉE,FAÇADE,COLOMBAGES,,,,,,A507,2019/10/27
1673,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,CHAPELLE,COUPOLE,SCULPTURE,VITRAUX,,,,A507,2019/10/27
1674,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,CHAPELLE,COUPOLE,VITRAUX,SCULPTURE,CHAPITEAU,,,A507,2019/10/27
1675,"SOMMERARD, RUE DU",24,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85047,2.34402,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,FAÇADE,FENÊTRE,DÉCORATION_EXTÉRIEURE,LUCARNE,,,,A507,2019/10/27
1676,"CLÉRY, RUE DE",97,IMMEUBLE,2,PARIS,48.86952,2.35118,DIAPOSITIVE,COULEUR,4x4 cm,1984/05,INCONNU,,,NON,PRIVÉE,FAÇADE,RUE,,,,,,A507,2019/10/27
1677,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,CHAPELLE,CHAPITEAU,SCULPTURE,COLONNE,,,,A507,2019/10/27
1678,"CLOVIS, RUE",,EGLISE_SAINT_ETIENNE_DU_MONT,5,PARIS,48.84627,2.34884,DIAPOSITIVE,COULEUR,4x4 cm,1986/05,INCONNU,,,OUI,PRIVÉE,FAÇADE,DÉCORATION_EXTÉRIEURE,,,,,,A507,2019/10/27
1679,"SOMMERARD, RUE DU",28,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85058,2.34325,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,VESTIGES,,,,,,,A507,2019/10/27
1680,"CLOTILDE, RUE",1,LYCÉE_HENRI-IV,5,PARIS,48.8459,2.34711,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,FAÇADE,CLOCHER,GRILLE,,,,,A507,2019/10/27
1681,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,CLOÎTRE,JARDIN,COLONNE,COUPOLE,,,,A507,2019/10/27
1682,"SOMMERARD, RUE DU",24,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85047,2.34402,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,PORTE,SCULPTURE,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1683,"SOMMERARD, RUE DU",24,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85047,2.34402,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,FAÇADE,FENÊTRE,DÉCORATION_EXTÉRIEURE,LUCARNE,,,,A507,2019/10/27
1684,"CLOTILDE, RUE",1,LYCÉE_HENRI-IV,5,PARIS,48.8459,2.34711,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,FAÇADE,CHAPELLE,GRILLE,,,,,A507,2019/10/27
1685,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,FAÇADE,COUR,CLOCHER,,,,,A507,2019/10/27
1686,"SOMMERARD, RUE DU",24,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85047,2.34402,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,PORTE,SCULPTURE,DÉCORATION_EXTÉRIEURE,,,,,A507,2019/10/27
1687,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,FAÇADE,FERRONNERIE,,,,,,A507,2019/10/27
1688,"CLOVIS, RUE",13-23,LYCÉE_HENRI-IV,5,PARIS,48.84629,2.34734,DIAPOSITIVE,COULEUR,4x4 cm,1981/05,INCONNU,,,OUI,PUBLIQUE,FAÇADE,COUR,LUCARNE,,,,,A507,2019/10/27
1689,"SOMMERARD, RUE DU",24,"MUSÉE_DE_CLUNY,_MUSÉE_NATIONAL_DU_MOYEN_AGE",5,PARIS,48.85047,2.34402,DIAPOSITIVE,COULEUR,4x4 cm,1981/10,INCONNU,,,OUI,PUBLIQUE,FAÇADE,FENÊTRE,DÉCORATION_EXTÉRIEURE,LUCARNE,,,,A507,2019/10/27
1690,"BÉRANGER, RUE",2,HÔTEL_PARTICULIER,3,PARIS,48.86497,2.36447,DIAPOSITIVE,COULEUR,4x4 cm,1986/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,COUR,MASCARONS,FERRONNERIE,,,,A507,2019/10/27
1691,"CÉLESTINS, QUAI DES",2bis,ECOLE,4,PARIS,48.85171,2.36217,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,XIXè,,OUI,HÔTEL_PARTICULIER,FAÇADE,DÉCORATION_EXTÉRIEURE,OCULUS,SCULPTURE,MASCARONS,,,A507,2019/10/27
1692,"CHAISE, RUE DE LA",9,IMMEUBLE,7,PARIS,48.85261, 2.32726,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,COUR,FERRONNERIE,,,,,A507,2019/10/27
1693,"CHANOINESSE, RUE",12,HÔTEL_DE_LA_MOTTE_MONTGAUBERT,4,PARIS,48.85361,2.35035,DIAPOSITIVE,COULEUR,4x4 cm,1985/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,,,,,,,A507,2019/10/27
1694,"CHANOINESSE, RUE",24,IMMEUBLE,4,PARIS,48.8542,2.35036,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,PRIVÉE,FAÇADE,PORTE,LUCARNE,,,,,A507,2019/10/27
1695,"CÉLESTINS, QUAI DES",2bis,ECOLE,4,PARIS,48.85171,2.36217,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,XIXè,,OUI,HÔTEL_PARTICULIER,COLONNE,DÉCORATION_EXTÉRIEURE,AFFICHES,SCULPTURE,,,,A507,2019/10/27
1697,"CHANOINESSE, RUE",16,IMMEUBLE,4,PARIS,48.85381,2.35088,DIAPOSITIVE,COULEUR,4x4 cm,1985/10,INCONNU,,,NON,PRIVÉE,FAÇADE,FERRONNERIE,,,,,,A507,2019/10/27
1698,"CHARDON-LAGACHE, RUE",41,HÔTEL_JASSÉDÉ,16,PARIS,48.84339,2.26528,DIAPOSITIVE,COULEUR,4x4 cm,1985/07,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,,,,,,,A507,2019/10/27
1699,"CÉLESTINS, QUAI DES",2bis,ECOLE,4,PARIS,48.85171,2.36217,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,XIXè,,OUI,HÔTEL_PARTICULIER,FAÇADE,DÉCORATION_EXTÉRIEURE,SCULPTURE,,,,,A507,2019/10/27
1701,"CHANOINESSE, RUE",17,IMMEUBLE,4,PARIS,48.85391,2.35032,DIAPOSITIVE,COULEUR,4x4 cm,1985/10,INCONNU,,,NON,PRIVÉE,COUR,FERRONNERIE,,,,,,A507,2019/10/27
1702,"CHARLEMAGNE, RUE",18,IMMEUBLE,4,PARIS,48.8544,2.35969,DIAPOSITIVE,COULEUR,4x4 cm,1987,INCONNU,,,NON,PRIVÉE,FAÇADE,FERRONNERIE,PASSAGE,,,,,A507,2019/10/27
1703,"CÉLESTINS, QUAI DES",2bis,ECOLE,4,PARIS,48.85171,2.36217,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,FIEUBET,XIXè,,OUI,HÔTEL_PARTICULIER,FAÇADE,DÉCORATION_EXTÉRIEURE,OCULUS,SCULPTURE,MASCARONS,,,A507,2019/10/27
1704,"CHAPON, RUE",4,HÔTEL_JEAN_BART,3,PARIS,48.86312,2.35723,DIAPOSITIVE,COULEUR,4x4 cm,1986/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,TOIT,LUCARNE,FRONTON,CHAPITEAU,,,,A507,2019/10/27
1705,"CHANOINESSE, RUE",22-24,IMMEUBLE,4,PARIS,48.85416,2.35036,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,PRIVÉE,FAÇADE,LUCARNE,,,,,,A507,2019/10/27
1706,"CHARLEMAGNE, RUE",18-20,IMMEUBLE,4,PARIS,48.85443,2.35932,DIAPOSITIVE,COULEUR,4x4 cm,1987,INCONNU,,,NON,PRIVÉE,FAÇADE,PLAQUE,PASSAGE,,,,,A507,2019/10/27
1707,"CHABANAIS, RUE",2-10,IMMEUBLE,4,PARIS,48.86724,2.33685,DIAPOSITIVE,COULEUR,4x4 cm,1984/06,INCONNU,,,NON,VOIRIES_ESPACES_LIBRES,FAÇADE,FERRONNERIE,,,,,,A507,2019/10/27
1708,"CHAPON, RUE",4,HÔTEL_JEAN_BART,3,PARIS,48.86312,2.35723,DIAPOSITIVE,COULEUR,4x4 cm,1986/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,TOIT,LUCARNE,FRONTON,CHAPITEAU,,,,A507,2019/10/27
1709,"CHANOINESSE, RUE",24,IMMEUBLE,4,PARIS,48.8542,2.35036,DIAPOSITIVE,COULEUR,4x4 cm,,INCONNU,,,OUI,PRIVÉE,PORTE,COUR,LUCARNE,,,,,A507,2019/10/27
1710,"CHARLEMAGNE, RUE",12,FONTAINE_CHARLEMAGNE,4,PARIS,48.85406,2.36121,DIAPOSITIVE,COULEUR,4x4 cm,1980/10,INCONNU,,,OUI,JARDINS_EAUX,FONTAINE,FRONTON,FAÇADE,,,,,A507,2019/10/27
1711,"CHARLES V, RUE",12,HÔTEL_BRINVILLIERS,4,PARIS,48.85317,2.36234,DIAPOSITIVE,COULEUR,4x4 cm,1986/06,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,FERRONNERIE,FRONTON,,,,,A507,2019/10/27
1712,"CHARLOT, RUE",17,IMMEUBLE,3,PARIS,48.86174,2.36116,DIAPOSITIVE,COULEUR,4x4 cm,1986/08,INCONNU,,,NON,PRIVÉE,FAÇADE,COMMERCES,,,,,,A507,2019/10/27
1713,"CHAUSSÉE D'ANTIN, RUE DE LA",20,HÔTEL_MOREAU,3,PARIS,48.8723,2.33381,DIAPOSITIVE,COULEUR,4x4 cm,1984/10,INCONNU,,,OUI,HÔTEL_PARTICULIER,COUR,ESCALIER,COLONNE,CHAPITEAU,,,,A507,2019/10/27
1714,"CHERCHE-MIDI, RUE DU",85,MUSÉE_HÉBERT,6,PARIS,48.84744,2.32271,DIAPOSITIVE,COULEUR,4x4 cm,1985/09,INCONNU,,,OUI,HÔTEL_PARTICULIER,PORTE,DÉCORATION_EXTÉRIEURE,,,,,,A507,2019/10/27
1715,"CHARLES V, RUE",12,HÔTEL_BRINVILLIERS,4,PARIS,48.85317,2.36234,DIAPOSITIVE,COULEUR,4x4 cm,1986/06,INCONNU,,,OUI,HÔTEL_PARTICULIER,JARDIN,LUCARNE,FRONTON,,,,,A507,2019/10/27
1716,"CHARLOT, RUE",28,HÔTEL_PARTICULIER,3,PARIS,48.86238,2.36205,DIAPOSITIVE,COULEUR,4x4 cm,1986/08,INCONNU,,,OUI,HÔTEL_PARTICULIER,FAÇADE,COUR,LUCARNE,PORTE,,,,A507,2019/10/27
